datetime,code,price,volume,amount,side
2023-11-16,000908,3.64,83700,304483.57,SELL
2023-11-16,000908,3.756,335100,1257886.94,OTHER
2023-11-14,000908,3.47,209100,725653.48,CANCEL
2023-11-14,000908,3.48,209700,729832.92,BUY
2024-03-18,300727,33.0,16900,557362.37,SELL
2024-03-18,300727,33.3,12700,422653.96,SELL
2024-03-18,300727,33.05,9500,313784.92,SELL
2024-03-18,300727,33.016,28614,944144.08,OTHER
2024-03-15,300727,29.0,8714,252729.49,CANCEL
2024-03-15,300727,28.98,59000,1710000.22,BUY
2023-05-22,002229,22.66,6500,147125.04,SELL
2023-05-22,002229,22.6,5100,115130.91,SELL
2023-05-22,002229,22.5,3900,87651.72,SELL
2023-05-22,002229,22.46,2900,65061.05,SELL
2023-05-22,002229,22.55,2200,49554.44,SELL
2023-05-22,002229,22.357,6600,147392.72,OTHER
2023-05-18,002229,21.01,6800,142885.14,CANCEL
2023-05-18,002229,21.01,5100,107163.86,BUY
2023-05-18,002229,21.0,3800,79809.58,BUY
2023-05-18,002229,21.0,2800,58807.06,BUY
2023-05-18,002229,21.0,8700,182721.92,BUY
2023-05-10,002229,21.1,28200,594353.58,OTHER
2023-05-08,002229,22.15,2700,59738.01,SELL
2023-05-04,002229,19.43,2900,56283.89,SELL
2023-05-04,002229,19.43,500,9700.28,SELL
2023-04-26,002229,16.488,34300,565592.86,CANCEL
2024-09-18,300344,3.5,18700,65410.35,SELL
2024-09-18,300344,3.45,80400,277212.03,SELL
2024-09-18,300344,3.47,3700,12827.58,SELL
2024-09-18,300344,3.46,67000,231679.66,SELL
2024-09-18,300344,3.46,60200,208165.87,SELL
2024-09-18,300344,3.492,50100,174845.08,SELL
2024-09-18,300344,3.5,41800,146211.41,SELL
2024-09-18,300344,3.48,34800,121030.7,SELL
2024-09-18,300344,3.48,101900,354397.32,SELL
2024-09-18,300344,3.46,12000,41494.24,SELL
2024-09-18,300344,3.46,60500,209203.27,OTHER
2024-09-13,300344,3.845,133100,511782.94,CANCEL
2024-09-13,300344,3.799,99000,376184.65,BUY
2024-09-13,300344,3.78,14500,54815.78,BUY
2024-09-13,300344,3.825,56100,214589.58,BUY
2024-09-13,300344,3.86,63900,246680.0,BUY
2024-09-13,300344,3.794,41100,155961.44,BUY
2024-09-13,300344,3.8,30800,117052.34,BUY
2024-09-13,300344,3.8,46300,175958.54,BUY
2024-09-13,300344,3.801,46300,176007.72,BUY
2024-03-12,300344,4.65,82000,381069.11,SELL
2024-03-12,300344,4.64,61500,285187.23,SELL
2024-03-12,300344,4.65,46100,214235.2,SELL
2024-03-12,300344,4.64,138600,642714.67,OTHER
2024-03-11,300344,4.33,88500,382973.01,SELL
2024-03-11,300344,4.4,66300,291543.39,SELL
2024-03-11,300344,4.4,31200,137196.89,SELL
2024-03-11,300344,4.36,42000,183009.13,SELL
2024-03-11,300344,4.37,31500,137571.66,SELL
2024-03-11,300344,4.38,23600,103305.43,SELL
2024-03-11,300344,4.38,17700,77479.08,SELL
2024-03-11,300344,4.44,20400,90521.16,SELL
2024-03-11,300344,4.39,32800,143904.8,OTHER
2024-03-11,300344,4.7,82300,386850.77,CANCEL
2024-03-11,300344,4.717,245900,1160066.7,BUY
2024-03-08,300344,4.328,88400,382618.32,CANCEL
2024-03-08,300344,4.34,66400,288191.37,BUY
2024-03-08,300344,4.34,49800,216154.78,BUY
2024-03-08,300344,4.33,37400,161959.07,BUY
2024-03-08,300344,4.33,28100,121685.82,BUY
2024-03-08,300344,4.33,21100,91372.63,BUY
2024-03-08,300344,4.33,31600,136842.42,BUY
2024-03-08,300344,4.39,31200,136982.44,BUY
2023-06-14,002717,3.74,45800,171100.14,SELL
2023-06-14,002717,3.73,34300,127795.7,SELL
